direction,entryTime,entryPrice,exitTime,exitPrice,profit,profitPct,growth,riskPct,riskSeries,rmultiple,holdingPeriod,exitReason,stopPrice,stopPriceSeries,profitTarget
long,2017/07/16,169.574005,2017/07/17,161.09530475,-8.478700250000003,-5.000000000000002,0.95,5.000000000000002,,-1,0,stop-loss,161.09530475,,
long,2017/07/19,234.940994,2017/07/20,223.1939443,-11.747049699999991,-4.9999999999999964,0.9500000000000001,4.9999999999999964,,-1,0,stop-loss,223.1939443,,
long,2017/07/22,217.860001,2017/07/25,206.96700095,-10.893000050000012,-5.000000000000005,0.95,5.000000000000005,,-1,2,stop-loss,206.96700095,,
long,2017/07/27,204.856003,2017/07/28,194.61320285,-10.242800149999994,-4.999999999999997,0.9500000000000001,4.999999999999997,,-1,0,stop-loss,194.61320285,,
long,2017/07/30,206.735992,2017/07/31,196.3991924,-10.336799600000006,-5.000000000000003,0.95,5.000000000000003,,-1,0,stop-loss,196.3991924,,
long,2017/09/05,297.566986,2017/09/07,333.519012,35.95202599999999,12.08199420348331,1.120819942034833,5.000000000000009,,2.4163988406966577,1,exit-rule,282.68863669999996,,
long,2017/09/09,296.169006,2017/09/10,281.3605557,-14.808450300000004,-5.000000000000001,0.95,5.000000000000001,,-1,0,stop-loss,281.3605557,,
long,2017/09/12,294.630005,2017/09/13,279.89850475,-14.73150025000001,-5.0000000000000036,0.95,5.0000000000000036,,-1,0,stop-loss,279.89850475,,
long,2017/09/15,215.220993,2017/09/28,306.471008,91.25001499999999,42.39828732692447,1.4239828732692448,4.999999999999996,,8.479657465384902,12,exit-rule,204.45994335,,
long,2017/09/30,291.47699,2017/10/02,302.481995,11.005004999999983,3.7755999195682595,1.0377559991956826,4.999999999999998,,0.7551199839136521,1,exit-rule,276.9031405,,
long,2017/10/22,300.549011,2017/10/23,285.52156045,-15.027450550000026,-5.000000000000009,0.95,5.000000000000009,,-1,0,stop-loss,285.52156045,,
long,2017/10/25,298.437012,2017/10/31,307.377991,8.940979000000027,2.9959350350284395,1.0299593503502844,4.99999999999999,,0.599187007005689,5,exit-rule,283.5151614,,
long,2017/11/02,290.725006,2017/11/09,308.644989,17.919983000000002,6.163894618683059,1.0616389461868305,5.000000000000002,,1.2327789237366114,6,exit-rule,276.1887557,,
long,2017/11/11,298.585999,2017/11/13,307.024994,8.438994999999977,2.826319729747267,1.0282631972974727,4.99999999999999,,0.5652639459494544,1,exit-rule,283.65669905000004,,
long,2018/01/23,1004.169983,2018/01/25,1063.219971,59.049987999999985,5.8804773095871345,1.0588047730958714,4.9999999999999964,,1.1760954619174278,1,exit-rule,953.96148385,,
long,2018/01/31,1071.089966,2018/02/01,1017.5354677,-53.55449829999998,-4.999999999999998,0.9500000000000001,4.999999999999998,,-1,0,stop-loss,1017.5354677,,
long,2018/02/03,919.210999,2018/02/04,873.25044905,-45.96054994999997,-4.9999999999999964,0.9500000000000001,4.9999999999999964,,-1,0,stop-loss,873.25044905,,
long,2018/02/06,707.737,2018/02/18,973.348999,265.6119990000001,37.529760207534736,1.3752976020753473,4.999999999999997,,7.5059520415069505,11,exit-rule,672.35015,,
long,2018/02/20,943.567017,2018/02/21,896.38866615,-47.178350850000015,-5.000000000000002,0.95,5.000000000000002,,-1,0,stop-loss,896.38866615,,
long,2018/02/23,811.585022,2018/03/05,866.846008,55.260986,6.809019942706632,1.0680901994270664,4.9999999999999964,,1.3618039885413276,9,exit-rule,771.0057709,,
long,2018/03/07,816.270996,2018/03/08,775.4574461999999,-40.81354980000003,-5.000000000000004,0.95,5.000000000000004,,-1,0,stop-loss,775.4574461999999,,
long,2018/03/10,730.159973,2018/03/11,693.65197435,-36.50799864999999,-4.999999999999998,0.9500000000000001,4.999999999999998,,-1,0,stop-loss,693.65197435,,
long,2018/03/13,698.153015,2018/03/14,663.24536425,-34.907650750000016,-5.000000000000003,0.95,5.000000000000003,,-1,0,stop-loss,663.24536425,,
long,2018/03/16,611.778015,2018/03/17,581.18911425,-30.588900749999993,-4.999999999999999,0.95,4.999999999999999,,-1,0,stop-loss,581.18911425,,
long,2018/03/19,546.625977,2018/03/23,519.29467815,-27.331298850000053,-5.000000000000009,0.95,5.000000000000009,,-1,3,stop-loss,519.29467815,,
long,2018/03/25,522.703003,2018/03/26,496.56785284999995,-26.135150150000015,-5.000000000000003,0.95,5.000000000000003,,-1,0,stop-loss,496.56785284999995,,
long,2018/03/28,450.290985,2018/03/29,427.77643574999996,-22.514549250000016,-5.0000000000000036,0.95,5.0000000000000036,,-1,0,stop-loss,427.77643574999996,,
long,2018/03/31,395.003998,2018/04/01,375.25379810000004,-19.750199899999984,-4.999999999999996,0.9500000000000001,4.999999999999996,,-1,0,stop-loss,375.25379810000004,,
long,2018/04/03,387.312012,2018/04/06,367.9464114,-19.365600599999993,-4.999999999999998,0.9500000000000001,4.999999999999998,,-1,2,stop-loss,367.9464114,,
long,2018/04/08,385.743011,2018/04/13,493.160004,107.41699299999999,27.846776205104074,1.2784677620510407,4.999999999999994,,5.569355241020821,4,exit-rule,366.45586045000005,,
long,2018/05/18,672.10199,2018/05/21,717.192993,45.091003,6.708952461217976,1.0670895246121799,5.000000000000008,,1.3417904922435933,2,exit-rule,638.4968905,,
long,2018/05/23,646.669983,2018/05/24,614.33648385,-32.333499149999966,-4.999999999999995,0.9500000000000001,4.999999999999995,,-1,0,stop-loss,614.33648385,,
long,2018/05/26,587.426025,2018/05/28,558.05472375,-29.371301249999988,-4.999999999999998,0.9500000000000001,4.999999999999998,,-1,1,stop-loss,558.05472375,,
long,2018/05/30,566.830017,2018/06/10,538.48851615,-28.34150084999999,-4.999999999999998,0.9500000000000001,4.999999999999998,,-1,10,stop-loss,538.48851615,,
long,2018/06/12,532.710022,2018/06/13,506.0745209,-26.6355011,-5,0.95,5,,-1,0,stop-loss,506.0745209,,
long,2018/06/15,520.47998,2018/06/16,494.45598099999995,-26.023999000000003,-5.000000000000001,0.95,5.000000000000001,,-1,0,stop-loss,494.45598099999995,,
