close,sma5,sma20
7.52011,7.396785497062402,8.617555399999997
8.28416,7.6084000189440015,8.570128599999995
8.15998,7.6745046955520015,8.522838199999997
7.9691,7.6772066610688015,8.476422199999996
8.17257,7.789650098918401,8.442314399999997
8.37851,7.895249873382403,8.407854599999997
9.72525,8.274538795955202,8.40303
11.2516,8.856090371993602,8.423712
10.2544,9.182633207808001,8.427618
10.2547,9.499595621324803,8.432888400000001
9.86719,9.556447339596803,8.440709
10.2898,9.677498391756803,8.453249800000002
10.3256,9.8344279945216,8.468176200000002
10.5496,10.005103194521602,8.4867518
9.71776,10.128390938624003,8.482992600000001
9.86133,10.279841980032003,8.483346800000001
9.7695,10.043931665664005,8.494103400000002
9.64666,9.964517597849603,8.498995600000002
9.90426,9.900455366502404,8.510518600000001
